area,time,大数据,人工智能,区块链,云计算,生物识别
台湾,2020-02-07,0,0,116,0,0
台湾,2020-02-08,57,0,115,0,0
台湾,2020-02-09,0,59,0,0,0
台湾,2020-02-10,0,57,57,0,0
台湾,2020-02-11,0,59,57,0,0
台湾,2020-02-12,0,114,57,57,0
台湾,2020-02-13,0,57,117,0,0
台湾,2020-02-14,0,114,60,0,0
台湾,2020-02-15,0,0,0,0,0
台湾,2020-02-16,0,57,57,0,0
台湾,2020-02-17,0,0,115,0,0
台湾,2020-02-18,0,57,124,0,0
台湾,2020-02-19,0,0,0,59,0
台湾,2020-02-20,0,57,57,59,0
台湾,2020-02-21,57,57,57,0,0
台湾,2020-02-22,0,57,65,0,0
台湾,2020-02-23,0,0,58,57,0
台湾,2020-02-24,61,57,0,57,0
台湾,2020-02-25,57,0,114,58,0
台湾,2020-02-26,57,0,0,0,0
台湾,2020-02-27,0,0,57,57,0
台湾,2020-02-28,59,0,0,0,0
台湾,2020-02-29,0,0,58,0,0
台湾,2020-03-01,0,59,57,57,0
台湾,2020-03-02,57,114,57,0,0
台湾,2020-03-03,0,0,57,59,0
台湾,2020-03-04,0,57,117,0,0
台湾,2020-03-05,0,0,115,59,0
台湾,2020-03-06,57,57,57,0,0
台湾,2020-03-07,0,57,115,0,0
台湾,2020-03-08,57,0,59,0,0
台湾,2020-03-09,0,59,59,0,0
台湾,2020-03-10,0,0,122,0,0
台湾,2020-03-11,0,0,63,0,0
台湾,2020-03-12,0,72,0,0,0
台湾,2020-03-13,57,59,0,0,0
台湾,2020-03-14,0,0,0,0,0
台湾,2020-03-15,0,116,115,0,0
台湾,2020-03-16,0,57,118,0,0
台湾,2020-03-17,59,57,115,0,0
台湾,2020-03-18,57,57,117,0,0
台湾,2020-03-19,0,57,64,0,0
台湾,2020-03-20,0,0,117,0,0
台湾,2020-03-21,0,115,116,0,0
台湾,2020-03-22,0,57,57,61,0
台湾,2020-03-23,0,0,57,0,0
台湾,2020-03-24,0,57,57,0,0
台湾,2020-03-25,0,0,57,0,0
台湾,2020-03-26,0,0,57,0,59
台湾,2020-03-27,57,0,0,0,0
台湾,2020-03-28,0,57,0,0,0
台湾,2020-03-29,0,59,60,0,57
台湾,2020-03-30,0,0,115,0,0
台湾,2020-03-31,57,0,63,57,0
台湾,2020-04-01,0,57,63,0,0
台湾,2020-04-02,0,57,61,0,0
台湾,2020-04-03,58,59,58,0,0
台湾,2020-04-04,0,57,58,0,0
台湾,2020-04-05,0,0,0,0,0
台湾,2020-04-06,0,57,57,0,0
台湾,2020-04-07,0,57,116,0,0
台湾,2020-04-08,57,58,59,0,0
台湾,2020-04-09,0,0,0,57,0
台湾,2020-04-10,57,0,59,57,0
台湾,2020-04-11,0,0,0,0,0
台湾,2020-04-12,0,57,0,0,0
台湾,2020-04-13,0,57,57,0,0
台湾,2020-04-14,0,114,57,0,0
台湾,2020-04-15,57,57,57,0,0
台湾,2020-04-16,57,0,57,0,0
台湾,2020-04-17,0,57,118,0,0
台湾,2020-04-18,0,0,57,57,0
台湾,2020-04-19,0,59,60,0,0
台湾,2020-04-20,57,117,57,0,0
台湾,2020-04-21,57,59,118,57,0
台湾,2020-04-22,57,0,57,0,0
台湾,2020-04-23,59,57,57,0,0
台湾,2020-04-24,57,59,57,0,0
台湾,2020-04-25,0,57,57,0,0
台湾,2020-04-26,0,59,61,0,0
台湾,2020-04-27,0,61,63,0,0
台湾,2020-04-28,57,57,0,0,0
台湾,2020-04-29,0,0,0,0,0
台湾,2020-04-30,59,59,0,0,0
台湾,2020-05-01,0,57,57,0,0
台湾,2020-05-02,0,114,0,0,0
台湾,2020-05-03,57,61,57,0,0
台湾,2020-05-04,0,0,117,57,0
台湾,2020-05-05,0,0,57,0,0
台湾,2020-05-06,57,116,59,57,0
台湾,2020-05-07,0,0,115,0,0
台湾,2020-05-08,0,57,59,57,0
台湾,2020-05-09,0,57,57,63,0
台湾,2020-05-10,57,57,0,0,0
台湾,2020-05-11,59,57,116,57,0
台湾,2020-05-12,0,57,0,0,0
台湾,2020-05-13,57,118,0,57,0
台湾,2020-05-14,0,0,0,0,0
台湾,2020-05-15,0,57,117,57,0
台湾,2020-05-16,0,0,57,0,0
台湾,2020-05-17,59,0,57,0,0
台湾,2020-05-18,57,116,57,0,0
台湾,2020-05-19,0,0,0,57,0
台湾,2020-05-20,57,0,115,0,0
台湾,2020-05-21,0,57,116,57,0
台湾,2020-05-22,57,0,0,0,0
台湾,2020-05-23,57,115,0,57,0
台湾,2020-05-24,0,59,114,0,0
台湾,2020-05-25,0,59,0,57,0
台湾,2020-05-26,0,0,61,0,0
台湾,2020-05-27,0,0,57,57,0
台湾,2020-05-28,0,0,61,57,0
台湾,2020-05-29,0,117,0,57,0
台湾,2020-05-30,0,0,58,0,0
台湾,2020-05-31,0,0,0,0,0
台湾,2020-06-01,0,57,119,57,0
台湾,2020-06-02,0,115,57,0,0
台湾,2020-06-03,0,57,57,0,0
台湾,2020-06-04,0,0,119,0,0
台湾,2020-06-05,0,57,0,0,0
台湾,2020-06-06,0,61,57,0,0
台湾,2020-06-07,0,0,57,0,0
台湾,2020-06-08,57,57,117,57,0
台湾,2020-06-09,57,0,57,0,0
台湾,2020-06-10,57,59,59,0,0
台湾,2020-06-11,0,66,60,0,0
台湾,2020-06-12,0,0,58,0,0
台湾,2020-06-13,0,60,61,0,0
台湾,2020-06-14,57,57,0,0,0
台湾,2020-06-15,61,0,64,0,0
台湾,2020-06-16,0,57,115,0,0
台湾,2020-06-17,57,57,59,59,0
台湾,2020-06-18,0,0,57,57,0
台湾,2020-06-19,0,0,57,0,0
台湾,2020-06-20,0,114,57,57,0
台湾,2020-06-21,0,57,120,0,0
台湾,2020-06-22,57,0,118,57,0
台湾,2020-06-23,57,57,57,0,0
台湾,2020-06-24,0,58,0,0,0
台湾,2020-06-25,0,0,57,0,0
台湾,2020-06-26,0,117,57,0,0
台湾,2020-06-27,0,57,0,0,0
台湾,2020-06-28,115,0,0,0,0
台湾,2020-06-29,0,63,63,0,0
台湾,2020-06-30,0,0,0,0,0
台湾,2020-07-01,57,120,0,0,0
台湾,2020-07-02,57,122,57,57,0
台湾,2020-07-03,0,0,59,0,0
台湾,2020-07-04,0,58,115,0,0
台湾,2020-07-05,0,61,57,0,0
台湾,2020-07-06,0,57,121,0,0
台湾,2020-07-07,0,118,114,57,0
台湾,2020-07-08,0,58,0,0,0
台湾,2020-07-09,0,118,0,0,0
台湾,2020-07-10,0,0,61,0,0
台湾,2020-07-11,0,0,0,0,0
台湾,2020-07-12,0,0,119,0,0
台湾,2020-07-13,0,0,64,0,0
台湾,2020-07-14,0,0,57,0,0
台湾,2020-07-15,57,114,59,0,0
台湾,2020-07-16,0,118,63,0,0
台湾,2020-07-17,61,57,61,0,0
台湾,2020-07-18,0,57,57,0,0
台湾,2020-07-19,0,57,0,0,0
台湾,2020-07-20,0,57,57,0,0
台湾,2020-07-21,0,0,0,0,0
台湾,2020-07-22,0,0,63,0,0
台湾,2020-07-23,0,61,68,0,0
台湾,2020-07-24,57,59,63,0,0
台湾,2020-07-25,0,57,57,0,0
台湾,2020-07-26,0,0,57,0,0
台湾,2020-07-27,0,59,59,0,61
台湾,2020-07-28,0,0,119,0,0
台湾,2020-07-29,0,0,58,0,0
台湾,2020-07-30,0,57,59,0,0
台湾,2020-07-31,0,0,57,0,0
台湾,2020-08-01,57,57,117,0,0
台湾,2020-08-02,0,0,57,0,0
台湾,2020-08-03,57,57,57,0,0
台湾,2020-08-04,57,0,61,0,0
台湾,2020-08-05,0,59,120,0,0
台湾,2020-08-06,57,57,61,0,0
台湾,2020-08-07,0,0,57,0,0
台湾,2020-08-08,57,0,61,0,0
台湾,2020-08-09,0,0,0,0,0
台湾,2020-08-10,0,0,59,0,0
台湾,2020-08-11,57,0,114,0,0
台湾,2020-08-12,0,0,59,0,0
台湾,2020-08-13,0,0,57,0,0
台湾,2020-08-14,0,0,59,0,0
台湾,2020-08-15,0,0,57,0,0
台湾,2020-08-16,0,0,59,0,0
台湾,2020-08-17,0,0,116,0,0
台湾,2020-08-18,0,0,61,0,0
台湾,2020-08-19,0,0,115,0,0
台湾,2020-08-20,0,0,57,0,0
台湾,2020-08-21,0,0,0,0,0
台湾,2020-08-22,0,0,57,0,0
台湾,2020-08-23,0,0,57,0,0
台湾,2020-08-24,0,57,57,0,0
台湾,2020-08-25,0,0,57,0,0
台湾,2020-08-26,0,0,0,0,0
台湾,2020-08-27,0,57,63,0,0
台湾,2020-08-28,0,57,59,0,0
台湾,2020-08-29,57,0,57,0,0
台湾,2020-08-30,0,0,57,0,0
台湾,2020-08-31,0,59,116,0,0
台湾,2020-09-01,57,0,61,0,0
台湾,2020-09-02,0,0,121,0,0
台湾,2020-09-03,0,59,57,0,0
台湾,2020-09-04,57,0,116,0,0
台湾,2020-09-05,57,0,0,57,0
台湾,2020-09-06,0,0,114,0,0
台湾,2020-09-07,0,57,117,0,0
台湾,2020-09-08,0,0,0,0,0
台湾,2020-09-09,0,114,61,57,0
台湾,2020-09-10,0,0,59,57,0
台湾,2020-09-11,57,59,59,0,0
台湾,2020-09-12,0,59,57,0,0
台湾,2020-09-13,0,0,0,0,0
台湾,2020-09-14,61,0,0,57,0
台湾,2020-09-15,0,0,63,57,0
台湾,2020-09-16,59,0,0,0,0
台湾,2020-09-17,57,57,57,0,0
台湾,2020-09-18,57,0,117,63,0
台湾,2020-09-19,0,57,59,0,0
台湾,2020-09-20,57,0,57,0,0
台湾,2020-09-21,0,0,58,0,0
台湾,2020-09-22,0,0,57,0,0
台湾,2020-09-23,0,59,59,0,0
台湾,2020-09-24,0,61,114,57,0
台湾,2020-09-25,57,0,57,0,0
台湾,2020-09-26,0,57,0,0,0
台湾,2020-09-27,0,57,114,0,0
台湾,2020-09-28,57,0,114,0,0
台湾,2020-09-29,0,0,120,0,0
台湾,2020-09-30,0,57,57,57,0
台湾,2020-10-01,0,0,59,57,0
台湾,2020-10-02,0,0,0,0,0
台湾,2020-10-03,0,0,0,0,0
台湾,2020-10-04,0,0,0,0,0
台湾,2020-10-05,0,59,57,57,0
台湾,2020-10-06,0,0,58,57,0
台湾,2020-10-07,57,61,0,0,0
台湾,2020-10-08,0,59,59,0,0
台湾,2020-10-09,0,0,60,57,0
台湾,2020-10-10,57,0,57,57,0
台湾,2020-10-11,0,57,114,0,0
台湾,2020-10-12,0,57,114,0,0
台湾,2020-10-13,0,57,0,0,0
台湾,2020-10-14,57,0,116,0,0
台湾,2020-10-15,59,0,114,0,57
台湾,2020-10-16,0,0,0,57,0
台湾,2020-10-17,59,0,57,0,0
台湾,2020-10-18,0,0,0,0,0
台湾,2020-10-19,0,0,57,0,0
台湾,2020-10-20,57,0,59,57,0
台湾,2020-10-21,0,57,57,0,0
台湾,2020-10-22,57,0,63,0,0
台湾,2020-10-23,59,57,64,57,0
台湾,2020-10-24,0,0,57,0,0
台湾,2020-10-25,0,0,57,0,0
台湾,2020-10-26,59,0,59,57,0
台湾,2020-10-27,0,0,114,0,0
台湾,2020-10-28,0,57,61,57,0
台湾,2020-10-29,0,0,64,0,0
台湾,2020-10-30,59,0,118,0,0
台湾,2020-10-31,57,0,57,0,0
台湾,2020-11-01,0,0,0,0,0
台湾,2020-11-02,0,0,57,0,0
台湾,2020-11-03,57,59,57,59,0
台湾,2020-11-04,0,0,61,0,0
台湾,2020-11-05,57,57,0,0,0
台湾,2020-11-06,57,57,0,0,0
台湾,2020-11-07,57,0,59,0,0
台湾,2020-11-08,57,57,57,0,0
台湾,2020-11-09,0,0,57,0,0
台湾,2020-11-10,57,0,64,0,0
台湾,2020-11-11,0,59,117,0,0
台湾,2020-11-12,0,0,118,0,0
台湾,2020-11-13,114,0,118,0,0
台湾,2020-11-14,0,0,0,0,0
台湾,2020-11-15,0,0,0,0,0
台湾,2020-11-16,0,57,117,57,0
台湾,2020-11-17,57,114,58,0,0
台湾,2020-11-18,57,59,59,0,0
台湾,2020-11-19,0,59,59,0,0
台湾,2020-11-20,0,57,57,0,0
台湾,2020-11-21,57,0,0,0,0
台湾,2020-11-22,0,63,57,0,57
台湾,2020-11-23,57,114,121,57,0
台湾,2020-11-24,0,59,115,0,0
台湾,2020-11-25,0,61,57,0,0
台湾,2020-11-26,114,0,57,0,0
台湾,2020-11-27,57,63,59,0,0
台湾,2020-11-28,0,0,59,57,0
台湾,2020-11-29,0,0,57,0,0
台湾,2020-11-30,0,117,114,57,0
台湾,2020-12-01,57,114,58,0,0
台湾,2020-12-02,0,61,61,0,0
台湾,2020-12-03,0,0,0,0,0
台湾,2020-12-04,0,0,0,57,0
台湾,2020-12-05,0,0,0,0,0
台湾,2020-12-06,0,0,57,0,0
台湾,2020-12-07,0,57,119,0,0
台湾,2020-12-08,57,0,116,0,0
台湾,2020-12-09,0,0,0,0,0
台湾,2020-12-10,57,0,0,0,0
台湾,2020-12-11,0,59,117,0,0
台湾,2020-12-12,0,0,58,0,0
台湾,2020-12-13,0,57,65,0,0
台湾,2020-12-14,57,0,116,0,0
台湾,2020-12-15,57,57,0,0,0
台湾,2020-12-16,0,57,61,0,0
台湾,2020-12-17,57,0,57,0,0
台湾,2020-12-18,0,0,114,0,0
台湾,2020-12-19,0,0,57,0,0
台湾,2020-12-20,0,0,60,57,0
台湾,2020-12-21,0,0,57,0,0
台湾,2020-12-22,0,0,118,0,0
台湾,2020-12-23,0,0,63,0,0
台湾,2020-12-24,0,0,57,0,0
台湾,2020-12-25,0,57,0,0,0
台湾,2020-12-26,0,61,0,0,0
台湾,2020-12-27,0,0,114,0,0
台湾,2020-12-28,0,0,57,0,0
台湾,2020-12-29,57,0,57,0,0
台湾,2020-12-30,0,59,0,0,0
台湾,2020-12-31,57,57,61,0,0
台湾,2021-01-01,0,0,0,0,0
台湾,2021-01-02,0,0,57,0,0
台湾,2021-01-03,0,0,59,0,0
台湾,2021-01-04,57,59,0,57,0
台湾,2021-01-05,0,0,119,0,0
台湾,2021-01-06,59,59,59,0,0
台湾,2021-01-07,0,0,57,59,0
台湾,2021-01-08,0,57,116,0,0
台湾,2021-01-09,0,57,0,57,0
台湾,2021-01-10,0,57,0,0,0
台湾,2021-01-11,59,0,0,57,0
台湾,2021-01-12,0,0,57,0,0
台湾,2021-01-13,0,0,0,0,0
台湾,2021-01-14,0,57,57,57,0
台湾,2021-01-15,0,57,57,0,0
台湾,2021-01-16,0,0,0,0,0
台湾,2021-01-17,0,0,0,0,0
台湾,2021-01-18,0,115,57,0,0
台湾,2021-01-19,0,0,59,0,0
台湾,2021-01-20,57,0,57,0,0
台湾,2021-01-21,0,0,61,0,0
台湾,2021-01-22,0,0,118,0,0
台湾,2021-01-23,0,0,57,57,0
台湾,2021-01-24,0,57,0,0,0
台湾,2021-01-25,0,0,119,57,0
台湾,2021-01-26,57,57,58,0,0
台湾,2021-01-27,57,57,57,0,0
台湾,2021-01-28,0,0,0,57,0
台湾,2021-01-29,0,0,0,0,0
台湾,2021-01-30,0,58,57,0,0
台湾,2021-01-31,0,0,57,0,0
台湾,2021-02-01,0,0,0,0,0
台湾,2021-02-02,0,0,57,57,0
台湾,2021-02-03,0,0,57,0,0
台湾,2021-02-04,57,57,0,0,0
台湾,2021-02-05,0,57,0,0,0
台湾,2021-02-06,0,0,0,57,0
台湾,2021-02-07,0,0,57,0,0
台湾,2021-02-08,0,0,0,0,0
台湾,2021-02-09,0,0,61,0,0
台湾,2021-02-10,0,0,60,0,0
台湾,2021-02-11,0,0,0,0,0
台湾,2021-02-12,0,0,57,0,0
台湾,2021-02-13,57,0,0,0,0
台湾,2021-02-14,0,57,57,0,0
台湾,2021-02-15,57,0,59,0,0
台湾,2021-02-16,0,0,57,0,0
台湾,2021-02-17,0,57,57,0,0
台湾,2021-02-18,0,57,59,59,0
台湾,2021-02-19,0,57,59,0,0
台湾,2021-02-20,0,0,59,0,0
台湾,2021-02-21,0,57,57,0,0
台湾,2021-02-22,57,0,123,0,0
台湾,2021-02-23,117,0,59,0,0
台湾,2021-02-24,0,0,57,0,0
台湾,2021-02-25,0,114,57,0,0
台湾,2021-02-26,0,0,57,57,0
台湾,2021-02-27,0,0,61,0,0
台湾,2021-02-28,57,0,0,0,0
台湾,2021-03-01,57,57,58,0,0
台湾,2021-03-02,57,0,57,0,0
台湾,2021-03-03,57,0,118,0,0
台湾,2021-03-04,0,57,119,0,0
台湾,2021-03-05,57,57,59,0,0
台湾,2021-03-06,0,0,57,0,0
台湾,2021-03-07,60,60,0,0,0
台湾,2021-03-08,59,57,114,57,0
台湾,2021-03-09,57,0,57,57,0
台湾,2021-03-10,0,57,120,0,0
台湾,2021-03-11,0,0,117,0,0
台湾,2021-03-12,0,57,61,57,0
台湾,2021-03-13,0,0,0,0,0
台湾,2021-03-14,0,0,0,0,0
台湾,2021-03-15,0,0,0,0,0
台湾,2021-03-16,0,59,57,0,0
台湾,2021-03-17,57,57,59,0,0
台湾,2021-03-18,63,0,59,0,0
台湾,2021-03-19,0,0,114,59,0
台湾,2021-03-20,0,59,116,57,0
台湾,2021-03-21,0,0,59,0,0
台湾,2021-03-22,0,57,0,59,0
台湾,2021-03-23,0,57,0,0,0
台湾,2021-03-24,0,0,59,0,0
台湾,2021-03-25,0,57,117,0,0
台湾,2021-03-26,0,0,57,0,0
台湾,2021-03-27,57,0,115,0,0
台湾,2021-03-28,57,57,0,0,0
台湾,2021-03-29,0,0,57,0,0
台湾,2021-03-30,0,59,58,57,0
台湾,2021-03-31,57,0,57,57,0
台湾,2021-04-01,0,0,0,0,0
台湾,2021-04-02,0,0,0,0,0
台湾,2021-04-03,0,59,0,0,0
台湾,2021-04-04,57,0,0,0,0
台湾,2021-04-05,0,57,0,0,0
台湾,2021-04-06,0,0,57,0,0
台湾,2021-04-07,0,57,127,0,0
台湾,2021-04-08,57,117,118,0,0
台湾,2021-04-09,57,57,116,0,0
台湾,2021-04-10,0,0,0,0,0
台湾,2021-04-11,57,0,57,0,0
台湾,2021-04-12,0,0,0,57,0
台湾,2021-04-13,0,63,118,0,0
台湾,2021-04-14,0,57,57,59,0
台湾,2021-04-15,0,0,57,0,0
台湾,2021-04-16,0,0,57,0,0
台湾,2021-04-17,59,0,115,0,0
台湾,2021-04-18,0,57,61,0,0
台湾,2021-04-19,0,57,59,0,0
台湾,2021-04-20,0,57,57,0,0
台湾,2021-04-21,0,61,57,0,0
台湾,2021-04-22,57,61,59,57,0
台湾,2021-04-23,0,57,57,57,0
台湾,2021-04-24,0,0,0,0,0
台湾,2021-04-25,0,59,57,0,0
台湾,2021-04-26,57,0,121,57,0
台湾,2021-04-27,0,61,64,0,0
台湾,2021-04-28,0,0,114,0,0
台湾,2021-04-29,0,0,0,0,0
台湾,2021-04-30,0,57,121,0,0
台湾,2021-05-01,0,0,57,0,0
台湾,2021-05-02,114,0,57,0,0
台湾,2021-05-03,0,59,119,57,0
台湾,2021-05-04,0,57,117,0,0
台湾,2021-05-05,57,0,119,0,0
台湾,2021-05-06,0,0,57,57,0
台湾,2021-05-07,57,0,118,0,0
台湾,2021-05-08,57,61,58,0,0
台湾,2021-05-09,0,0,59,0,0
台湾,2021-05-10,0,0,64,0,0
台湾,2021-05-11,57,0,57,0,0
台湾,2021-05-12,61,57,57,0,0
台湾,2021-05-13,0,57,121,0,0
台湾,2021-05-14,0,57,123,0,0
台湾,2021-05-15,0,59,57,59,0
台湾,2021-05-16,0,0,57,0,0
台湾,2021-05-17,59,61,0,0,0
台湾,2021-05-18,0,0,120,0,0
台湾,2021-05-19,0,59,116,0,0
台湾,2021-05-20,0,0,121,57,0
台湾,2021-05-21,57,0,0,0,0
台湾,2021-05-22,0,61,60,0,0
台湾,2021-05-23,0,0,63,57,0
台湾,2021-05-24,0,0,118,0,0
台湾,2021-05-25,0,0,114,0,0
台湾,2021-05-26,57,59,114,57,0
台湾,2021-05-27,57,63,114,57,0
台湾,2021-05-28,59,57,57,0,0
台湾,2021-05-29,59,57,57,0,0
台湾,2021-05-30,0,59,0,59,0
台湾,2021-05-31,61,63,116,57,0
台湾,2021-06-01,0,57,117,0,0
台湾,2021-06-02,0,57,0,0,0
台湾,2021-06-03,0,59,114,57,0
台湾,2021-06-04,0,57,0,0,0
台湾,2021-06-05,57,0,57,57,0
台湾,2021-06-06,57,59,0,0,0
台湾,2021-06-07,0,0,57,0,0
台湾,2021-06-08,0,0,57,0,0
台湾,2021-06-09,0,0,120,0,0
台湾,2021-06-10,0,64,57,57,0
台湾,2021-06-11,0,0,114,0,0
台湾,2021-06-12,0,0,58,0,0
台湾,2021-06-13,0,0,57,0,0
台湾,2021-06-14,57,57,118,0,0
台湾,2021-06-15,57,0,57,0,0
台湾,2021-06-16,0,59,0,57,0
台湾,2021-06-17,0,0,117,0,0
台湾,2021-06-18,0,114,57,0,0
台湾,2021-06-19,0,57,123,0,0
台湾,2021-06-20,0,0,115,57,0
台湾,2021-06-21,0,59,60,0,0
台湾,2021-06-22,0,59,0,0,0
台湾,2021-06-23,57,57,114,0,0
台湾,2021-06-24,0,0,0,0,0
台湾,2021-06-25,0,57,0,0,0
台湾,2021-06-26,0,0,57,0,0
台湾,2021-06-27,0,0,114,0,0
台湾,2021-06-28,0,57,59,0,0
台湾,2021-06-29,0,0,57,0,0
台湾,2021-06-30,57,63,0,0,0
台湾,2021-07-01,0,57,116,0,0
台湾,2021-07-02,0,57,57,0,0
台湾,2021-07-03,0,0,0,0,0
台湾,2021-07-04,0,0,0,0,0
台湾,2021-07-05,0,0,0,0,0
台湾,2021-07-06,57,0,57,0,0
台湾,2021-07-07,0,0,58,0,0
台湾,2021-07-08,57,63,57,0,0
台湾,2021-07-09,0,59,58,0,0
台湾,2021-07-10,0,0,117,0,0
台湾,2021-07-11,0,57,59,0,0
台湾,2021-07-12,57,0,58,0,0
台湾,2021-07-13,59,0,114,57,0
台湾,2021-07-14,57,57,0,0,0
台湾,2021-07-15,57,59,57,0,0
台湾,2021-07-16,57,57,57,0,0
台湾,2021-07-17,0,57,0,0,0
台湾,2021-07-18,0,0,57,0,0
台湾,2021-07-19,0,0,57,0,0
台湾,2021-07-20,0,0,0,0,0
台湾,2021-07-21,0,60,57,57,0
台湾,2021-07-22,0,0,59,57,0
台湾,2021-07-23,57,57,117,0,0
台湾,2021-07-24,0,0,58,114,0
台湾,2021-07-25,0,0,0,0,0
台湾,2021-07-26,0,0,120,114,0
台湾,2021-07-27,0,57,0,57,0
台湾,2021-07-28,57,57,114,0,0
台湾,2021-07-29,57,0,0,57,0
台湾,2021-07-30,57,0,57,0,0
台湾,2021-07-31,0,0,0,0,0
台湾,2021-08-01,0,57,0,0,0
台湾,2021-08-02,57,0,57,59,0
台湾,2021-08-03,0,0,61,0,0
台湾,2021-08-04,57,0,59,0,0
台湾,2021-08-05,0,0,57,0,0
台湾,2021-08-06,0,0,0,0,0
台湾,2021-08-07,0,57,0,0,0
台湾,2021-08-08,0,0,0,0,0
台湾,2021-08-09,0,0,59,0,0
台湾,2021-08-10,0,0,114,0,0
台湾,2021-08-11,0,0,58,0,0
台湾,2021-08-12,0,0,60,0,0
台湾,2021-08-13,114,0,0,0,0
台湾,2021-08-14,0,0,0,0,0
台湾,2021-08-15,0,57,0,0,0
台湾,2021-08-16,0,0,0,0,0
台湾,2021-08-17,0,0,0,0,0
台湾,2021-08-18,0,0,0,0,0
台湾,2021-08-19,0,0,0,0,0
台湾,2021-08-20,58,59,59,0,0
台湾,2021-08-21,0,0,57,0,0
台湾,2021-08-22,57,57,0,0,0
台湾,2021-08-23,0,59,57,0,0
台湾,2021-08-24,0,57,0,0,0
台湾,2021-08-25,0,0,58,0,0
台湾,2021-08-26,0,57,57,0,0
台湾,2021-08-27,0,0,59,0,0
台湾,2021-08-28,0,0,57,0,0
台湾,2021-08-29,0,0,114,0,0
台湾,2021-08-30,0,59,57,0,0
台湾,2021-08-31,0,0,0,57,0
台湾,2021-09-01,0,0,61,0,0
台湾,2021-09-02,0,57,57,0,0
台湾,2021-09-03,0,0,0,0,0
台湾,2021-09-04,0,57,57,0,0
台湾,2021-09-05,57,0,57,0,0
台湾,2021-09-06,0,57,0,0,0
台湾,2021-09-07,0,0,0,57,0
台湾,2021-09-08,0,0,0,0,0
台湾,2021-09-09,0,0,116,0,0
台湾,2021-09-10,0,0,0,0,0
台湾,2021-09-11,0,60,57,0,0
台湾,2021-09-12,57,0,57,0,0
台湾,2021-09-13,57,0,120,0,0
台湾,2021-09-14,0,59,57,0,0
台湾,2021-09-15,0,57,58,0,0
台湾,2021-09-16,0,0,57,0,0
台湾,2021-09-17,57,0,0,0,0
台湾,2021-09-18,0,0,0,0,0
台湾,2021-09-19,0,0,57,0,0
台湾,2021-09-20,0,0,0,0,0
台湾,2021-09-21,0,0,0,0,0
台湾,2021-09-22,0,57,57,0,0
台湾,2021-09-23,0,0,57,0,0
台湾,2021-09-24,57,0,120,57,0
台湾,2021-09-25,0,0,57,0,0
台湾,2021-09-26,57,0,57,0,0
台湾,2021-09-27,0,59,58,0,0
台湾,2021-09-28,0,0,59,0,0
台湾,2021-09-29,0,0,59,0,0
台湾,2021-09-30,57,57,0,57,0
台湾,2021-10-01,57,59,0,0,0
台湾,2021-10-02,0,0,0,0,0
台湾,2021-10-03,0,0,57,0,0
台湾,2021-10-04,0,0,57,0,0
台湾,2021-10-05,0,0,57,0,0
台湾,2021-10-06,0,59,61,0,0
台湾,2021-10-07,0,0,58,0,0
台湾,2021-10-08,59,0,57,0,0
台湾,2021-10-09,0,0,57,0,0
台湾,2021-10-10,0,0,0,57,0
台湾,2021-10-11,57,57,0,0,0
台湾,2021-10-12,0,57,117,0,0
台湾,2021-10-13,59,0,0,0,0
台湾,2021-10-14,0,0,57,0,0
台湾,2021-10-15,0,57,0,0,0
台湾,2021-10-16,0,0,58,0,0
台湾,2021-10-17,0,57,0,0,0
台湾,2021-10-18,0,0,0,0,0
台湾,2021-10-19,57,116,114,0,0
台湾,2021-10-20,0,0,57,57,0
台湾,2021-10-21,0,0,0,0,0
台湾,2021-10-22,0,0,59,0,0
台湾,2021-10-23,0,57,57,0,0
台湾,2021-10-24,57,120,0,0,0
台湾,2021-10-25,0,57,0,0,0
台湾,2021-10-26,0,59,114,0,0
台湾,2021-10-27,57,0,0,0,0
台湾,2021-10-28,0,0,61,0,0
台湾,2021-10-29,0,0,57,57,0
台湾,2021-10-30,0,57,0,0,0
台湾,2021-10-31,0,0,57,59,0
台湾,2021-11-01,57,0,58,0,0
台湾,2021-11-02,0,0,63,0,0
台湾,2021-11-03,0,57,0,0,0
台湾,2021-11-04,0,0,114,57,0
台湾,2021-11-05,0,0,0,0,0
台湾,2021-11-06,0,59,0,0,0
台湾,2021-11-07,0,58,57,0,0
台湾,2021-11-08,59,57,58,0,0
台湾,2021-11-09,0,0,0,57,0
台湾,2021-11-10,0,61,0,0,0
台湾,2021-11-11,0,0,0,0,0
台湾,2021-11-12,57,0,58,0,0
台湾,2021-11-13,0,0,0,0,0
台湾,2021-11-14,57,0,0,0,0
台湾,2021-11-15,0,0,0,0,0
台湾,2021-11-16,0,57,61,0,0
台湾,2021-11-17,0,0,57,0,0
台湾,2021-11-18,0,57,59,57,0
台湾,2021-11-19,0,57,57,0,0
台湾,2021-11-20,0,0,57,0,0
台湾,2021-11-21,57,0,59,0,0
台湾,2021-11-22,0,0,59,0,0
台湾,2021-11-23,0,0,57,0,0
台湾,2021-11-24,0,0,0,0,0
台湾,2021-11-25,0,0,59,0,0
台湾,2021-11-26,0,0,59,0,0
台湾,2021-11-27,0,59,0,0,0
台湾,2021-11-28,57,57,57,0,0
台湾,2021-11-29,59,0,0,0,0
台湾,2021-11-30,61,0,115,57,0
台湾,2021-12-01,0,0,0,0,0
台湾,2021-12-02,0,0,57,0,0
